id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
335982,2008,Bangalore,4/18/2008,League,BB McCullum,M Chinnaswamy Stadium,RCB,KKR,RCB,field,KKR,runs,140,223,20,N,NA,Asad Rauf,RE Koertzen
335983,2008,Chandigarh,4/19/2008,League,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",PBKS,CSK,CSK,bat,CSK,runs,33,241,20,N,NA,MR Benson,SL Shastri
335984,2008,Delhi,4/19/2008,League,MF Maharoof,Feroz Shah Kotla,DC,RR,RR,bat,DC,wickets,9,130,20,N,NA,Aleem Dar,GA Pratapkumar
335985,2008,Mumbai,4/20/2008,League,MV Boucher,Wankhede Stadium,MI,RCB,MI,bat,RCB,wickets,5,166,20,N,NA,SJ Davis,DJ Harper
335986,2008,Kolkata,4/20/2008,League,DJ Hussey,Eden Gardens,KKR,SRH,SRH,bat,KKR,wickets,5,111,20,N,NA,BF Bowden,K Hariharan
335987,2008,Jaipur,4/21/2008,League,SR Watson,Sawai Mansingh Stadium,RR,PBKS,PBKS,bat,RR,wickets,6,167,20,N,NA,Aleem Dar,RB Tiffin
335988,2008,Hyderabad,4/22/2008,League,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",SRH,DC,SRH,bat,DC,wickets,9,143,20,N,NA,IL Howell,AM Saheba
335989,2008,Chennai,4/23/2008,League,ML Hayden,"MA Chidambaram Stadium, Chepauk",CSK,MI,MI,field,CSK,runs,6,209,20,N,NA,DJ Harper,GA Pratapkumar
335990,2008,Hyderabad,4/24/2008,League,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",SRH,RR,RR,field,RR,wickets,3,215,20,N,NA,Asad Rauf,MR Benson
335991,2008,Chandigarh,4/25/2008,League,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",PBKS,MI,MI,field,PBKS,runs,66,183,20,N,NA,Aleem Dar,AM Saheba
335992,2008,Bangalore,4/26/2008,League,SR Watson,M Chinnaswamy Stadium,RCB,RR,RR,field,RR,wickets,7,136,20,N,NA,MR Benson,IL Howell
335993,2008,Chennai,4/26/2008,League,JDP Oram,"MA Chidambaram Stadium, Chepauk",CSK,KKR,KKR,bat,CSK,wickets,9,148,20,N,NA,BF Bowden,AV Jayaprakash
335994,2008,Mumbai,4/27/2008,League,AC Gilchrist,Dr DY Patil Sports Academy,MI,SRH,SRH,field,SRH,wickets,10,155,20,N,NA,Asad Rauf,SL Shastri
335995,2008,Chandigarh,4/27/2008,League,SM Katich,"Punjab Cricket Association Stadium, Mohali",PBKS,DC,DC,bat,PBKS,wickets,4,159,20,N,NA,RE Koertzen,I Shivram
335996,2008,Bangalore,4/28/2008,League,MS Dhoni,M Chinnaswamy Stadium,RCB,CSK,CSK,bat,CSK,runs,13,179,20,N,NA,BR Doctrove,RB Tiffin
